map,population_set,demand,scenario,runs,avg_mean_wait_s,std_mean_wait_s,avg_p95_wait_s,avg_mean_travel_s,std_mean_travel_s,avg_p95_travel_s,avg_mean_time_loss_s,avg_mean_speed_mps,avg_vehicles_count,avg_planned_trips,avg_completed_trips,avg_unfinished_trips,avg_censoring_rate,avg_switch_margin_count,avg_switch_max_green_count,avg_nmin_hold_step_count,avg_spillback_block_event_count,avg_spillback_release_event_count,avg_spillback_block_step_count,avg_platoon_extend_step_count,avg_fairness_positive_bonus_count,avg_fairness_bonus_sum
bologna,peak,low,fixed_program0,1,698.902276,0.0,2847.05,1117.52008,0.0,3618.3,913.171526,6.249264,1494.0,1500.0,1494.0,6.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,low,fixed_tuned,1,727.909091,0.0,2627.5,1149.546791,0.0,3445.5,945.785702,5.501836,1496.0,1500.0,1496.0,4.0,0.2667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,low,mp_base,1,735.158677,0.0,2237.0,1123.704929,0.0,2958.0,917.551634,7.01204,1481.0,1500.0,1481.0,19.0,1.2667,3368.0,985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,low,mp_downstream_b04,1,914.44335,0.0,3432.9,1309.666667,0.0,4264.0,1112.555755,5.90225,1218.0,1500.0,1218.0,282.0,18.8,17251.0,1124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,low,mp_downstream_b08,1,901.215307,0.0,3322.8,1287.454163,0.0,4032.2,1089.496863,5.973129,1189.0,1500.0,1189.0,311.0,20.7333,17421.0,1217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,low,mp_fair_mu3_w30,1,745.916,0.0,2239.6,1133.496667,0.0,2895.95,928.120273,6.792343,1500.0,1500.0,1500.0,0.0,0.0,3601.0,946.0,0.0,0.0,0.0,0.0,0.0,15051.0,22748.579292
bologna,peak,low,mp_fair_mu5_w20,1,734.720667,0.0,2144.5,1122.659333,0.0,2841.2,916.243027,6.779356,1500.0,1500.0,1500.0,0.0,0.0,3616.0,907.0,0.0,0.0,0.0,0.0,0.0,14015.0,38812.679074
bologna,peak,low,mp_lta_g040_sf050,1,754.58623,0.0,2430.5,1136.760027,0.0,3054.25,930.300455,6.854736,1496.0,1500.0,1496.0,4.0,0.2667,2495.0,1307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,low,mp_lta_g060_sf050,1,702.983333,0.0,2213.2,1083.764667,0.0,2928.4,877.9879,6.952195,1500.0,1500.0,1500.0,0.0,0.0,1662.0,1793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,low,mp_nmin_a080_f2,1,738.855003,0.0,2268.4,1135.695711,0.0,2950.2,929.329176,6.778722,1469.0,1500.0,1469.0,31.0,2.0667,3803.0,928.0,1151.0,0.0,0.0,0.0,0.0,0.0,0.0
