Run dir: /home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0024_20260527_122000
Gruppi: 9
Ordinamento: wait (asc)

=== bologna / balanced / high ===
Rank | Scenario                | MeanWait[s] | DeltaWait[%] | MeanTravel[s] | DeltaTravel[%] | MeanTimeLoss[s] | DeltaTimeLoss[s] | Censoring[%] | P95Wait[s] | P95Travel[s] | MeanSpeed[m/s] | Completed | Runs
5    | mp_lta_g060_sf050       | 702.98      | +0.58        | 1083.76       | -3.02          | 877.99          | -35.18           | 0.00%        | 2213.20    | 2928.40      | 6.95           | 1500      | 1
6    | mp_spillback_on90_off80 | 727.88      | +4.15        | 1117.24       | -0.03          | 911.22          | -1.96            | 0.00%        | 2250.10    | 2912.90      | 6.96           | 1500      | 1
7    | fixed_tuned             | 727.91      | +4.15        | 1149.55       | +2.87          | 945.79          | +32.61           | 0.27%        | 2627.50    | 3445.50      | 5.50           | 1496      | 1
8    | mp_fair_mu5_w20         | 734.72      | +5.12        | 1122.66       | +0.46          | 916.24          | +3.07            | 0.00%        | 2144.50    | 2841.20      | 6.78           | 1500      | 1
9    | mp_base                 | 735.16      | +5.19        | 1123.70       | +0.55          | 917.55          | +4.38            | 1.27%        | 2237.00    | 2958.00      | 7.01           | 1481      | 1
10   | mp_switch_rel005        | 735.16      | +5.19        | 1123.70       | +0.55          | 917.55          | +4.38            | 1.27%        | 2237.00    | 2958.00      | 7.01           | 1481      | 1
11   | mp_nmin_a080_f2         | 738.86      | +5.72        | 1135.70       | +1.63          | 929.33          | +16.16           | 2.07%        | 2268.40    | 2950.20      | 6.78           | 1469      | 1
12   | mp_fair_mu3_w30         | 745.92      | +6.73        | 1133.50       | +1.43          | 928.12          | +14.95           | 0.00%        | 2239.60    | 2895.95      | 6.79           | 1500      | 1
13   | mp_lta_g040_sf050       | 754.59      | +7.97        | 1136.76       | +1.72          | 930.30          | +17.13           | 0.27%        | 2430.50    | 3054.25      | 6.85           | 1496      | 1
14   | mp_switch_rel010        | 764.56      | +9.39        | 1150.86       | +2.98          | 944.45          | +31.28           | 0.00%        | 2328.05    | 3008.45      | 6.94           | 1500      | 1
15   | mp_spillback_on85_off70 | 774.91      | +10.88       | 1164.03       | +4.16          | 958.21          | +45.04           | 0.47%        | 2332.60    | 3089.00      | 6.91           | 1493      | 1
16   | mp_switch_eps1          | 783.82      | +12.15       | 1158.47       | +3.66          | 951.77          | +38.60           | 0.00%        | 2579.25    | 3220.40      | 6.91           | 1500      | 1
17   | mp_platoon_x4           | 807.72      | +15.57       | 1193.21       | +6.77          | 986.47          | +73.29           | 0.33%        | 2371.00    | 3057.30      | 6.97           | 1495      | 1
18   | mp_nmin_a120_f4         | 830.31      | +18.80       | 1226.94       | +9.79          | 1020.13         | +106.96          | 0.00%        | 2761.75    | 3463.15      | 6.75           | 1500      | 1
19   | mp_downstream_b08       | 901.22      | +28.95       | 1287.45       | +15.21         | 1089.50         | +176.33          | 20.73%       | 3322.80    | 4032.20      | 5.97           | 1189      | 1
20   | mp_downstream_b04       | 914.44      | +30.84       | 1309.67       | +17.19         | 1112.56         | +199.38          | 18.80%       | 3432.90    | 4264.00      | 5.90           | 1218      | 1

=== bologna / peak / medium ===
Rank | Scenario                | MeanWait[s] | DeltaWait[%] | MeanTravel[s] | DeltaTravel[%] | MeanTimeLoss[s] | DeltaTimeLoss[s] | Censoring[%] | P95Wait[s] | P95Travel[s] | MeanSpeed[m/s] | Completed | Runs
-----+-------------------------+-------------+--------------+---------------+----------------+-----------------+------------------+--------------+------------+--------------+----------------+-----------+-----
1    | mp_super                | 892.89      | -10.60       | 1442.77       | -3.71          | 1237.99         | -59.50           | 4.57%        | 3076.30    | 4082.60      | 4.87           | 2863      | 1
2    | mp_program0             | 901.63      | -9.73        | 1446.07       | -3.49          | 1241.68         | -55.80           | 6.10%        | 2826.20    | 3925.20      | 4.89           | 2817      | 1
3    | mp_spillback_on90_off80 | 960.20      | -3.86        | 1333.49       | -11.01         | 1134.27         | -163.21          | 32.50%       | 3943.00    | 4576.40      | 6.35           | 2025      | 1
4    | fixed_program0          | 998.77      | +0.00        | 1498.38       | +0.00          | 1297.48         | +0.00            | 13.20%       | 3178.65    | 3943.55      | 4.96           | 2604      | 1
